x,t
1.389973926813502070e+00,1.320759853179775956e-01
1.396263401595463582e+00,1.383652503360470742e-01
1.402552876377425095e+00,1.446545072875446980e-01
1.408842351159386608e+00,1.509437558622872544e-01
1.415131825941348120e+00,1.572329957381652932e-01
1.421421300723309633e+00,1.635222265806852704e-01
1.427710775505271146e+00,1.698114480424934847e-01
1.434000250287232880e+00,1.761006597628813619e-01
1.440289725069194393e+00,1.823898613672727542e-01
1.446579199851155906e+00,1.886790524666905888e-01
1.452868674633117418e+00,1.949682326572035329e-01
1.459158149415078931e+00,2.012574015193513421e-01
1.465447624197040444e+00,2.075465586175475607e-01
1.471737098979002178e+00,2.138357034994604611e-01
1.478026573760963691e+00,2.201248356953693364e-01
1.484316048542925204e+00,2.264139547174961464e-01
1.490605523324886716e+00,2.327030600593118503e-01
1.496894998106848229e+00,2.389921511948154276e-01
1.503184472888809742e+00,2.452812275777860318e-01
1.509473947670771476e+00,2.515702886410065009e-01
1.515763422452732989e+00,2.578593337954557807e-01
1.522052897234694502e+00,2.641483624294715948e-01
1.528342372016656014e+00,2.704373739078811401e-01
1.534631846798617527e+00,2.767263675710969206e-01
1.540921321580579040e+00,2.830153427341794981e-01
1.547210796362540552e+00,2.893042986858633814e-01
1.553500271144502287e+00,2.955932346875460581e-01
1.559789745926463800e+00,3.018821499722372792e-01
1.566079220708425312e+00,3.081710437434697081e-01
1.572368695490386825e+00,3.144599151741660492e-01
1.578658170272348338e+00,3.207487634054637660e-01
1.584947645054309850e+00,3.270375875454945014e-01
1.591237119836271585e+00,3.333263866681162035e-01
1.597526594618233098e+00,3.396151598115977333e-01
1.603816069400194610e+00,3.459039059772519575e-01
1.610105544182156123e+00,3.521926241280168846e-01
1.616395018964117636e+00,3.584813131869826197e-01
1.622684493746079148e+00,3.647699720358614783e-01
1.628973968528040661e+00,3.710585995133994786e-01
1.635263443310002396e+00,3.773471944137278822e-01
1.641552918091963909e+00,3.836357554846496765e-01
1.647842392873925421e+00,3.899242814258627732e-01
1.654131867655886934e+00,3.962127708871134857e-01
1.660421342437848446e+00,4.025012224662798399e-01
1.666710817219809959e+00,4.087896347073816106e-01
1.673000292001771694e+00,4.150780060985137521e-01
1.679289766783733207e+00,4.213663350697014476e-01
1.685579241565694719e+00,4.276546199906727797e-01
1.691868716347656232e+00,4.339428591685461356e-01
1.698158191129617745e+00,4.402310508454287952e-01
1.704447665911579257e+00,4.465191931959242577e-01
1.710737140693540770e+00,4.528072843245447565e-01
1.717026615475502505e+00,4.590953222630229646e-01
1.723316090257464017e+00,4.653833049675237810e-01
1.729605565039425530e+00,4.716712303157466479e-01
1.735895039821387043e+00,4.779590961039197339e-01
1.742184514603348555e+00,4.842469000436777637e-01
1.748473989385310068e+00,4.905346397588210561e-01
1.754763464167271803e+00,4.968223127819517693e-01
1.761052938949233315e+00,5.031099165509800297e-01
1.767342413731194828e+00,5.093974484054988316e-01
1.773631888513156341e+00,5.156849055830192707e-01
1.779921363295117853e+00,5.219722852150630032e-01
1.786210838077079366e+00,5.282595843231059352e-01
1.792500312859041101e+00,5.345467998143667021e-01
1.798789787641002613e+00,5.408339284774357214e-01
1.805079262422964126e+00,5.471209669777377105e-01
1.811368737204925639e+00,5.534079118528207886e-01
1.817658211986887151e+00,5.596947595074674986e-01
1.823947686768848664e+00,5.659815062086201998e-01
1.830237161550810177e+00,5.722681480801126153e-01
1.836526636332771911e+00,5.785546810972017617e-01
1.842816111114733424e+00,5.848411010808931554e-01
1.849105585896694937e+00,5.911274036920499686e-01
1.855395060678656449e+00,5.974135844252788097e-01
1.861684535460617962e+00,6.036996386025845762e-01
1.867974010242579475e+00,6.099855613667843901e-01
1.874263485024541209e+00,6.162713476746730645e-01
1.880552959806502722e+00,6.225569922899290010e-01
1.886842434588464235e+00,6.288424897757529664e-01
1.893131909370425747e+00,6.351278344872286485e-01
1.899421384152387260e+00,6.414130205633945536e-01
1.905710858934348773e+00,6.476980419190174754e-01
1.912000333716310507e+00,6.539828922360553243e-01
1.918289808498272020e+00,6.602675649547988801e-01
1.924579283280233533e+00,6.665520532646809215e-01
1.930868758062195045e+00,6.728363500947385223e-01
1.937158232844156558e+00,6.791204481037180773e-01
