x,t
1.283052855520155688e+00,-8.090077533696140577e+00
1.289342330302117201e+00,-8.097787125690057763e+00
1.295631805084078714e+00,-8.105553470670585625e+00
1.301921279866040226e+00,-8.113378925693710997e+00
1.308210754648001739e+00,-8.121265952992343884e+00
1.314500229429963474e+00,-8.129217125268393573e+00
1.320789704211924986e+00,-8.137235131300132096e+00
1.327079178993886499e+00,-8.145322781887585961e+00
1.333368653775848012e+00,-8.153483016160620878e+00
1.339658128557809524e+00,-8.161718908276613504e+00
1.345947603339771037e+00,-8.170033674536936630e+00
1.352237078121732772e+00,-8.178430680954081211e+00
1.358526552903694284e+00,-8.186913451304205225e+00
1.364816027685655797e+00,-8.195485675703025663e+00
1.371105502467617310e+00,-8.204151219746538715e+00
1.377394977249578822e+00,-8.212914134262019772e+00
1.383684452031540335e+00,-8.221778665719012835e+00
1.389973926813502070e+00,-8.230749267354983800e+00
1.396263401595463582e+00,-8.239830611075593225e+00
1.402552876377425095e+00,-8.249027600195633525e+00
1.408842351159386608e+00,-8.258345383093331549e+00
1.415131825941348120e+00,-8.267789367858224381e+00
1.421421300723309633e+00,-8.277365238021259231e+00
1.427710775505271146e+00,-8.287078969465088818e+00
1.434000250287232880e+00,-8.296936848623232663e+00
1.440289725069194393e+00,-8.306945492088562588e+00
1.446579199851155906e+00,-8.317111867765085265e+00
1.452868674633117418e+00,-8.327443317712099002e+00
1.459158149415078931e+00,-8.337947582846965133e+00
1.465447624197040444e+00,-8.348632829692206769e+00
1.471737098979002178e+00,-8.359507679374660327e+00
1.478026573760963691e+00,-8.370581239109682770e+00
1.484316048542925204e+00,-8.381863136431928041e+00
1.490605523324886716e+00,-8.393363556467170028e+00
1.496894998106848229e+00,-8.405093282577086100e+00
1.503184472888809742e+00,-8.417063740752164236e+00
1.509473947670771476e+00,-8.429287048177547703e+00
1.515763422452732989e+00,-8.441776066453989813e+00
1.522052897234694502e+00,-8.454544460022491492e+00
1.528342372016656014e+00,-8.467606760418220802e+00
1.534631846798617527e+00,-8.480978437068960929e+00
1.540921321580579040e+00,-8.494675975457980144e+00
1.547210796362540552e+00,-8.508716963593725424e+00
1.553500271144502287e+00,-8.523120187872638809e+00
1.559789745926463800e+00,-8.537905739590907928e+00
1.566079220708425312e+00,-8.553095133561489760e+00
1.572368695490386825e+00,-8.568711440530631052e+00
1.578658170272348338e+00,-8.584779435371522993e+00
1.584947645054309850e+00,-8.601325763371592714e+00
1.591237119836271585e+00,-8.618379127336917023e+00
1.597526594618233098e+00,-8.635970498727949973e+00
1.603816069400194610e+00,-8.654133356635250962e+00
1.610105544182156123e+00,-8.672903959127477691e+00
1.616395018964117636e+00,-8.692321652388933728e+00
1.622684493746079148e+00,-8.712429224152307583e+00
1.628973968528040661e+00,-8.733273309277743479e+00
1.635263443310002396e+00,-8.754904857002827612e+00
1.641552918091963909e+00,-8.777379671481913448e+00
1.647842392873925421e+00,-8.800759039870339251e+00
1.654131867655886934e+00,-8.825110465553466454e+00
1.660421342437848446e+00,-8.850508528392687424e+00
1.666710817219809959e+00,-8.877035899361141347e+00
1.673000292001771694e+00,-8.904784544082641418e+00
1.679289766783733207e+00,-8.933857159140377036e+00
1.685579241565694719e+00,-8.964368897389480395e+00
1.691868716347656232e+00,-8.996449455029047471e+00
1.698158191129617745e+00,-9.030245615503897483e+00
1.704447665911579257e+00,-9.065924375805192170e+00
1.710737140693540770e+00,-9.103676822963624460e+00
1.717026615475502505e+00,-9.143722987809466574e+00
1.723316090257464017e+00,-9.186317987579363020e+00
1.729605565039425530e+00,-9.231759891443346078e+00
1.735895039821387043e+00,-9.280399923879599555e+00
1.742184514603348555e+00,-9.332655893332020725e+00
